Ward No.,Household,Total Population,Total Male,Total Female
1,1917,8008,4194,3814
2,3599,13448,6802,6646
3,9145,34866,17691,17175
4,12030,47362,23788,23574
5,4774,18320,9337,8983
6,15434,60344,30472,29872
7,13559,51581,26561,25020
8,2773,10738,5519,5219
9,10417,40371,21277,19094
10,10571,39820,21110,18710
11,4416,17765,9589,8176
12,3173,13262,6812,6450
13,10207,40456,21854,18602
14,15472,58495,30942,27553
15,14093,54476,27809,26667
16,22715,84441,44030,40411
17,6394,25926,13694,12232
18,2746,10746,5736,5010
19,2632,10711,5822,4889
20,2844,10968,5915,5053
21,3389,13727,7353,6374
22,1992,9187,5122,4065
23,1991,8357,4418,3939
24,1735,7619,3996,3623
25,3258,13203,6978,6225
26,12252,45052,23939,21113
27,1914,8563,4420,4143
28,4112,16211,9259,6952
29,9298,33316,18125,15191
30,6876,25694,13560,12134
31,17772,66121,35187,30934
32,20792,76299,40530,35769
Total,254292,975453,511841,463612